専門教育科目　国際学部　国際学科,,,,,,
科目区分,授業科目名,必修(単位数),選択(単位数),自由(単位数),開設年次及び学期,備考
専門科目　5プログラム科目　公共政策・NPOプログラム,比較法制度Ⅰ,0,2,0,3年・前期,なし
専門科目　5プログラム科目　公共政策・NPOプログラム,比較法制度Ⅱ,0,2,0,3年・後期,なし
専門科目　5プログラム科目　公共政策・NPOプログラム,Politics and EconomicsⅠ,0,2,0,3年・前期,なし
専門科目　5プログラム科目　公共政策・NPOプログラム,Politics and EconomicsⅡ,0,2,0,3年・後期,なし
専門科目　5プログラム科目　多文化共生プログラム,多文化共生入門,0,2,0,1年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,地域研究入門,0,2,0,1年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,社会文化思想史Ⅰ,0,2,0,1年・後期,政治※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。
専門科目　5プログラム科目　多文化共生プログラム,テキスト分析法,0,2,0,2年・前期,言語※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。
専門科目　5プログラム科目　多文化共生プログラム,フィールドワーク論,0,2,0,2年・前期,言語※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。【地域貢献特定プログラム】
専門科目　5プログラム科目　多文化共生プログラム,ジェンダーとセクシュアリティ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,社会文化思想史Ⅱ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,マス&ソーシャルメディア論,0,2,0,2年・前期,政治※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。
専門科目　5プログラム科目　多文化共生プログラム,比較文化論Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,比較文化論Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　多文化共生プログラム,音楽人類学Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,音楽人類学Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　多文化共生プログラム,文化交流史Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,文化交流史Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　多文化共生プログラム,共生の哲学Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,共生の哲学Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　多文化共生プログラム,美術史(日本)Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,美術史(日本)Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　多文化共生プログラム,美学Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,美学Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　多文化共生プログラム,エスニシティと宗教Ⅰ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　多文化共生プログラム,労働と社会,0,2,0,2年・後期,なし
専門科目　5プログラム科目　多文化共生プログラム,メディア・リテラシー,0,2,0,2年・後期,なし
専門科目　5プログラム科目　多文化共生プログラム,East Asian Cultures and Societies,0,2,0,2年・後期,なし
専門科目　5プログラム科目　多文化共生プログラム,Hiroshima and Atomic Bombing in Media,0,2,0,2年・後期,なし
専門科目　5プログラム科目　多文化共生プログラム,Future Studies Ⅰ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　多文化共生プログラム,Premodearn Japanese Studies,0,1,0,2年・第3ターム(後期),なし
専門科目　5プログラム科目　多文化共生プログラム,エスにティと宗教Ⅱ,0,2,0,3年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,異文化間交渉論,0,2,0,3年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,比較民族学Ⅰ,0,2,0,3年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,比較民族学Ⅱ,0,2,0,3年・後期,なし
専門科目　5プログラム科目　多文化共生プログラム,美術史(西洋)Ⅰ,0,2,0,3年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,美術史(西洋)Ⅱ,0,2,0,3年・後期,なし
専門科目　5プログラム科目　多文化共生プログラム,美術史(現代)Ⅰ,0,2,0,3年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,美術史(現代)Ⅱ,0,2,0,3年・後期,なし
専門科目　5プログラム科目　多文化共生プログラム,Future Studies Ⅱ,0,2,0,3年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,Exploring Japanese Society ,0,2,0,3年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,国際ビジネス入門,0,2,0,1年・前期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,会計学Ⅰ,0,2,0,1年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,International Commerce,0,2,0,1年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,会計学Ⅱ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,経営戦略論,0,2,0,2年・前期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,人的資源管理論,0,2,0,2年・前期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,国際経営論Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,国際経営論Ⅱ,0,2,0,2年・後期,なし
